date,Open,High,Low,Close,Adj_Close,Volume
2006-08-01,4.93,5.01,4.9,4.91,4.91,
2006-09-01,4.91,4.91,4.72,4.76,4.76,
2006-10-01,4.78,5.01,4.75,4.94,4.94,
2006-11-01,4.94,4.97,4.88,4.89,4.89,
2006-12-01,4.89,4.9,4.75,4.89,4.89,
2007-01-01,4.92,5.01,4.89,4.97,4.97,
2007-02-01,4.97,5.05,4.96,4.99,4.99,
2007-03-01,4.98,4.99,4.87,4.89,4.89,
2007-04-01,4.89,4.91,4.65,4.72,4.72,
2007-05-01,4.76,4.78,4.57,4.59,4.59,
2007-06-01,4.62,4.73,4.35,4.67,4.67,
2007-07-01,4.72,4.88,4.69,4.81,4.81,
2007-08-01,4.77,4.83,2.4,3.99,3.99,
2007-09-01,4.13,4.29,3.5,3.7,3.7,
2007-10-01,3.81,4.18,3.5,3.82,3.82,
2007-11-01,3.8,3.8,2.8,3.07,3.07,
2007-12-01,3.09,3.28,2.65,3.14,3.14,
2008-01-01,3.27,3.3,1.8,1.87,1.87,
2008-02-01,1.96,2.26,1.7,1.78,1.78,
2008-03-01,1.84,1.85,0.2,1.27,1.27,
2008-04-01,1.38,1.45,1.0,1.34,1.34,
2008-05-01,1.35,1.91,1.31,1.85,1.85,
2008-06-01,1.84,2.01,1.6,1.71,1.71,
2008-07-01,1.83,1.86,1.25,1.63,1.63,
2008-08-01,1.63,1.87,1.53,1.69,1.69,
2008-09-01,1.7,1.75,0.01,0.9,0.9,
2008-10-01,0.75,1.26,0.02,0.44,0.44,
2008-11-01,0.44,0.5,0.0,0.02,0.02,
2008-12-01,0.02,0.12,0.0,0.12,0.12,
2009-01-01,0.09,0.24,0.05,0.22,0.22,
2009-02-01,0.21,0.34,0.21,0.25,0.25,
2009-03-01,0.25,0.27,0.12,0.2,0.2,
2009-04-01,0.2,0.22,0.06,0.13,0.13,
2009-05-01,0.13,0.19,0.12,0.13,0.13,
2009-06-01,0.14,0.21,0.05,0.18,0.18,
2009-07-01,0.17,0.19,0.12,0.17,0.17,
2009-08-01,0.17,0.18,0.1,0.13,0.13,
2009-09-01,0.14,0.14,0.06,0.12,0.12,
2009-10-01,0.09,0.11,0.04,0.05,0.05,
2009-11-01,0.05,0.06,0.0,0.05,0.05,
2009-12-01,0.05,0.11,0.01,0.05,0.05,
2010-01-01,0.08,0.08,0.01,0.07,0.07,
2010-02-01,0.06,0.13,0.06,0.12,0.12,
2010-03-01,0.13,0.16,0.12,0.15,0.15,
2010-04-01,0.15,0.17,0.13,0.16,0.16,
2010-05-01,0.16,0.17,0.08,0.15,0.15,
2010-06-01,0.16,0.18,0.05,0.17,0.17,
2010-07-01,0.17,0.17,0.14,0.14,0.14,
2010-08-01,0.14,0.16,0.13,0.14,0.14,
2010-09-01,0.14,0.16,0.12,0.16,0.16,
2010-10-01,0.16,0.16,0.11,0.11,0.11,
2010-11-01,0.11,0.17,0.1,0.16,0.16,
2010-12-01,0.16,0.16,0.09,0.12,0.12,
2011-01-01,0.14,0.16,0.11,0.14,0.14,
2011-02-01,0.15,0.16,0.08,0.14,0.14,
2011-03-01,0.14,0.14,0.06,0.09,0.09,
2011-04-01,0.05,0.09,0.01,0.04,0.04,
2011-05-01,0.04,0.05,0.0,0.04,0.04,
2011-06-01,0.05,0.05,0.0,0.01,0.01,
2011-07-01,0.03,0.09,0.0,0.09,0.09,
2011-08-01,0.08,0.09,0.0,0.01,0.01,
2011-09-01,0.01,0.03,0.0,0.01,0.01,
2011-10-01,0.01,0.03,0.0,0.0,0.0,
2011-11-01,0.0,0.02,0.0,0.01,0.01,
2011-12-01,0.01,0.01,0.0,0.0,0.0,
2012-01-01,0.01,0.05,0.0,0.05,0.05,
2012-02-01,0.05,0.12,0.05,0.08,0.08,
